
[2026-08-13T19:28:14] Phase 1b Orchestrator started
[2026-08-13T19:28:14] CYCLE 1 | Starting...
[2026-08-13T21:00:03] CYCLE 1 | books:+100 articles:+208 cleaned:27202 rejected:6888 (79.8%) corpus:26.6M/500.0M (5.3%)
[2026-08-13T21:00:33] CYCLE 2 | Starting...
[2026-08-13T22:36:26] CYCLE 2 | books:+100 articles:+0 cleaned:1620 rejected:141 (92.0%) corpus:26.8M/500.0M (5.4%)
[2026-08-13T22:36:56] CYCLE 3 | Starting...
[2026-08-13T23:33:47] CYCLE 3 | books:+100 articles:+0 cleaned:63079 rejected:25800 (71.0%) corpus:35.6M/500.0M (7.1%)
[2026-08-13T23:34:17] CYCLE 4 | Starting...
[2026-08-14T01:08:42] CYCLE 4 | books:+100 articles:+0 cleaned:163951 rejected:68563 (70.5%) corpus:56.2M/500.0M (11.2%)
[2026-08-14T01:09:12] CYCLE 5 | Starting...
[2026-08-14T01:40:54] CYCLE 5 | books:+100 articles:+0 cleaned:133947 rejected:41604 (76.3%) corpus:75.1M/500.0M (15.0%)
[2026-08-14T01:41:24] CYCLE 6 | Starting...
[2026-08-14T02:00:56] CYCLE 6 | books:+100 articles:+0 cleaned:104235 rejected:35190 (74.8%) corpus:89.7M/500.0M (17.9%)
[2026-08-14T02:01:26] CYCLE 7 | Starting...
[2026-08-14T02:16:21] CYCLE 7 | books:+100 articles:+0 cleaned:119497 rejected:34303 (77.7%) corpus:107.2M/500.0M (21.4%)
[2026-08-14T02:16:51] CYCLE 8 | Starting...
[2026-08-14T02:31:20] CYCLE 8 | books:+100 articles:+0 cleaned:108299 rejected:39357 (73.3%) corpus:122.8M/500.0M (24.6%)
[2026-08-14T02:31:50] CYCLE 9 | Starting...
[2026-08-14T02:43:09] CYCLE 9 | books:+100 articles:+0 cleaned:82484 rejected:42078 (66.2%) corpus:134.4M/500.0M (26.9%)
[2026-08-14T02:43:39] CYCLE 10 | Starting...
[2026-08-14T02:57:36] CYCLE 10 | books:+100 articles:+0 cleaned:85423 rejected:20095 (81.0%) corpus:146.1M/500.0M (29.2%)
