model,step,epoch,train_loss,val_loss,val_ppl,lr,timestamp
telugu_low,199631,1,8.8847,8.1304,3396.17,9.52e-05,2026-08-29T20:27:04.114226
telugu_low,399262,2,8.0666,8.0025,2988.54,8.10e-05,2026-08-29T23:27:51.483436
telugu_low,598893,3,7.9656,7.9021,2702.96,5.89e-05,2026-08-30T02:06:51.562357
telugu_low,798524,4,7.8657,7.8026,2447.06,3.10e-05,2026-08-30T04:48:01.195981
telugu_low,1017631,5,7.7823,7.7295,2274.42,6.97e-05,2026-08-30T08:41:16.940340
telugu_low,1217262,6,7.7375,7.6849,2175.34,5.76e-05,2026-08-30T11:18:18.004666
telugu_low,1416893,7,7.6988,7.648,2096.37,4.41e-05,2026-08-30T13:53:59.409532
telugu_low,1616524,8,7.6687,7.6188,2036.04,2.95e-05,2026-08-30T16:31:00.649114
telugu_low,1935631,9,7.5892,7.5057,1818.46,8.20e-05,2026-09-02T08:08:05.935815
telugu_low,2135262,10,7.5183,7.4248,1677.05,7.83e-05,2026-09-02T11:04:09.336304
telugu_low,2334893,11,7.4461,7.3391,1539.3,7.42e-05,2026-09-02T14:00:24.377595
telugu_low,2534524,12,7.3582,7.2319,1382.87,6.99e-05,2026-09-02T16:57:16.049929
telugu_low,2743631,13,7.2343,7.0896,1199.42,6.50e-05,2026-09-02T21:56:48.640676
telugu_low,2943262,14,7.1099,6.9644,1058.29,6.01e-05,2026-09-03T00:38:31.424815
telugu_low,3142893,15,7.0029,6.8659,958.98,5.50e-05,2026-09-03T03:19:47.053295
telugu_low,3342524,16,6.9129,6.7821,881.9,4.96e-05,2026-09-03T06:02:28.097135
telugu_high,22808,1,14.8147,9.1596,9505.68,9.95e-05,2026-09-08T08:22:32.498157
telugu_high,45616,2,9.2337,9.0698,8688.91,9.80e-05,2026-09-08T09:37:20.180051
telugu_high,68424,3,9.1072,9.0083,8170.83,9.53e-05,2026-09-08T10:52:09.882598
telugu_high,91232,4,9.027,8.9633,7810.73,9.16e-05,2026-09-08T12:06:58.694335
telugu_high,114040,5,8.9719,8.9274,7535.87,8.69e-05,2026-09-08T13:21:43.696257
telugu_high,136848,6,8.9319,8.8992,7326.24,8.12e-05,2026-09-08T14:36:28.735124
telugu_high,159656,7,8.9014,8.876,7158.46,7.46e-05,2026-09-08T15:51:14.900594
telugu_high,182464,8,8.8771,8.8565,7019.76,6.72e-05,2026-09-08T17:06:05.700886
telugu_high,205272,9,8.8577,8.841,6911.97,5.91e-05,2026-09-08T18:20:51.324045
telugu_high,240808,10,8.7223,8.6964,5981.59,6.78e-05,2026-09-09T06:42:14.673280
telugu_high,263616,11,8.7003,8.6885,5934.24,6.18e-05,2026-09-09T07:55:53.883691
telugu_high,286424,12,8.6737,8.6211,5547.71,5.54e-05,2026-09-09T09:09:33.244413
telugu_high,309232,13,8.5829,8.5294,5061.62,4.87e-05,2026-09-09T10:23:13.181347
telugu_high,332040,14,8.5336,8.514,4984.23,4.16e-05,2026-09-09T11:36:55.308483
